STATE 3'S ACTION 4->6		0.09969616255701937% of the time
STATE 3'S ACTION 4->7		0.0% of the time
STATE 3'S ACTION 4->8		0.0% of the time
STATE 3'S ACTION 4->9		0.0% of the time
STATE 3'S ACTION 4->10		0.0% of the time
STATE 3'S ACTION 4->11		0.0% of the time


STATE 5'S ACTION 1->1		0.8006014748932222% of the time
STATE 5'S ACTION 1->2		0.0% of the time
STATE 5'S ACTION 1->3		0.0% of the time
STATE 5'S ACTION 1->4		0.0% of the time
STATE 5'S ACTION 1->5		0.19939052677043176% of the time
STATE 5'S ACTION 1->6		0.0% of the time
STATE 5'S ACTION 1->7		0.0% of the time
STATE 5'S ACTION 1->8		0.0% of the time
STATE 5'S ACTION 1->9		0.0% of the time
STATE 5'S ACTION 1->10		0.0% of the time
STATE 5'S ACTION 1->11		0.0% of the time
STATE 5'S ACTION 2->1		0.09951245655503961% of the time
STATE 5'S ACTION 2->2		0.0% of the time
STATE 5'S ACTION 2->3		0.0% of the time
STATE 5'S ACTION 2->4		0.0% of the time
STATE 5'S ACTION 2->5		0.7985473685052534% of the time
STATE 5'S ACTION 2->6		0.0% of the time
STATE 5'S ACTION 2->7		0.0% of the time
STATE 5'S ACTION 2->8		0.10190817865127645% of the time
STATE 5'S ACTION 2->9		0.0% of the time
STATE 5'S ACTION 2->10		0.0% of the time
STATE 5'S ACTION 2->11		0.0% of the time
STATE 5'S ACTION 3->1		0.0% of the time
STATE 5'S ACTION 3->2		0.0% of the time
STATE 5'S ACTION 3->3		0.0% of the time
STATE 5'S ACTION 3->4		0.0% of the time
STATE 5'S ACTION 3->5		0.1992175612256339% of the time
STATE 5'S ACTION 3->6		0.0% of the time
STATE 5'S ACTION 3->7		0.0% of the time
STATE 5'S ACTION 3->8		0.8007784344817644% of the time
STATE 5'S ACTION 3->9		0.0% of the time
STATE 5'S ACTION 3->10		0.0% of the time
STATE 5'S ACTION 3->11		0.0% of the time
STATE 5'S ACTION 4->1		0.10035693301410545% of the time
STATE 5'S ACTION 4->2		0.0% of the time
STATE 5'S ACTION 4->3		0.0% of the time
STATE 5'S ACTION 4->4		0.0% of the time
STATE 5'S ACTION 4->5		0.7995979007702239% of the time
STATE 5'S ACTION 4->6		0.0% of the time
STATE 5'S ACTION 4->7		0.0% of the time
STATE 5'S ACTION 4->8		0.10001718714401628% of the time
STATE 5'S ACTION 4->9		0.0% of the time
STATE 5'S ACTION 4->10		0.0% of the time
STATE 5'S ACTION 4->11		0.0% of the time


STATE 6'S ACTION 1->1		0.0% of the time
STATE 6'S ACTION 1->2		0.0% of the time
STATE 6'S ACTION 1->3		0.8001289103472573% of the time
STATE 6'S ACTION 1->4		0.0% of the time
STATE 6'S ACTION 1->5		0.0% of the time
STATE 6'S ACTION 1->6		0.09990551912437046% of the time
STATE 6'S ACTION 1->7		0.099945553393705% of the time
STATE 6'S ACTION 1->8		0.0% of the time
STATE 6'S ACTION 1->9		0.0% of the time
STATE 6'S ACTION 1->10		0.0% of the time
STATE 6'S ACTION 1->11		0.0% of the time
STATE 6'S ACTION 2->1		0.0% of the time
STATE 6'S ACTION 2->2		0.0% of the time
STATE 6'S ACTION 2->3		0.10030395136778116% of the time
STATE 6'S ACTION 2->4		0.0% of the time
STATE 6'S ACTION 2->5		0.0% of the time
STATE 6'S ACTION 2->6		0.799892675933379% of the time
STATE 6'S ACTION 2->7		0.0% of the time
STATE 6'S ACTION 2->8		0.0% of the time
STATE 6'S ACTION 2->9		0.0% of the time
STATE 6'S ACTION 2->10		0.09979135881078527% of the time
STATE 6'S ACTION 2->11		0.0% of the time
STATE 6'S ACTION 3->1		0.0% of the time
STATE 6'S ACTION 3->2		0.0% of the time
STATE 6'S ACTION 3->3		0.0% of the time
STATE 6'S ACTION 3->4		0.0% of the time
STATE 6'S ACTION 3->5		0.0% of the time
STATE 6'S ACTION 3->6		0.10030175545035803% of the time
STATE 6'S ACTION 3->7		0.0996671110507955% of the time
STATE 6'S ACTION 3->8		0.0% of the time
STATE 6'S ACTION 3->9		0.0% of the time
STATE 6'S ACTION 3->10		0.80000718465358% of the time
STATE 6'S ACTION 3->11		0.0% of the time
STATE 6'S ACTION 4->1		0.0% of the time
STATE 6'S ACTION 4->2		0.0% of the time
STATE 6'S ACTION 4->3		0.10018442286843568% of the time
STATE 6'S ACTION 4->4		0.0% of the time
STATE 6'S ACTION 4->5		0.0% of the time
STATE 6'S ACTION 4->6		0.0% of the time
STATE 6'S ACTION 4->7		0.8006232772863835% of the time
STATE 6'S ACTION 4->8		0.0% of the time
STATE 6'S ACTION 4->9		0.0% of the time
STATE 6'S ACTION 4->10		0.09918029835699627% of the time
STATE 6'S ACTION 4->11		0.0% of the time


STATE 8'S ACTION 1->1		0.0% of the time
STATE 8'S ACTION 1->2		0.0% of the time
STATE 8'S ACTION 1->3		0.0% of the time
STATE 8'S ACTION 1->4		0.0% of the time
STATE 8'S ACTION 1->5		0.8004891321694169% of the time
STATE 8'S ACTION 1->6		0.0% of the time
STATE 8'S ACTION 1->7		0.0% of the time
STATE 8'S ACTION 1->8		0.09943825604034343% of the time
STATE 8'S ACTION 1->9		0.10004867383741342% of the time
STATE 8'S ACTION 1->10		0.0% of the time
STATE 8'S ACTION 1->11		0.0% of the time
STATE 8'S ACTION 2->1		0.0% of the time
STATE 8'S ACTION 2->2		0.0% of the time
STATE 8'S ACTION 2->3		0.0% of the time
STATE 8'S ACTION 2->4		0.0% of the time
STATE 8'S ACTION 2->5		0.10092228515084833% of the time
STATE 8'S ACTION 2->6		0.0% of the time
STATE 8'S ACTION 2->7		0.0% of the time
STATE 8'S ACTION 2->8		0.8990616820781677% of the time
STATE 8'S ACTION 2->9		0.0% of the time
STATE 8'S ACTION 2->10		0.0% of the time
STATE 8'S ACTION 2->11		0.0% of the time
STATE 8'S ACTION 3->1		0.0% of the time
STATE 8'S ACTION 3->2		0.0% of the time
STATE 8'S ACTION 3->3		0.0% of the time
STATE 8'S ACTION 3->4		0.0% of the time
STATE 8'S ACTION 3->5		0.0% of the time
STATE 8'S ACTION 3->6		0.0% of the time
STATE 8'S ACTION 3->7		0.0% of the time
STATE 8'S ACTION 3->8		0.9005618763871949% of the time
STATE 8'S ACTION 3->9		0.09942612625222451% of the time
STATE 8'S ACTION 3->10		0.0% of the time
STATE 8'S ACTION 3->11		0.0% of the time
STATE 8'S ACTION 4->1		0.0% of the time
STATE 8'S ACTION 4->2		0.0% of the time
STATE 8'S ACTION 4->3		0.0% of the time
STATE 8'S ACTION 4->4		0.0% of the time
STATE 8'S ACTION 4->5		0.09997678216870556% of the time
STATE 8'S ACTION 4->6		0.0% of the time
STATE 8'S ACTION 4->7		0.0% of the time
STATE 8'S ACTION 4->8		0.09991673605328892% of the time
STATE 8'S ACTION 4->9		0.8000784602574778% of the time
